RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,cos(2*pi*(RI-min(RI)+Na-min(Na)))/(max(RI)+max(Na)-min(RI)-min(Na)),cos(2*pi*(RI-min(RI)+Mg-min(Mg)))/(max(RI)+max(Mg)-min(RI)-min(Mg)),cos(2*pi*(RI-min(RI)+Al-min(Al)))/(max(RI)+max(Al)-min(RI)-min(Al)),cos(2*pi*(RI-min(RI)+Si-min(Si)))/(max(RI)+max(Si)-min(RI)-min(Si)),cos(2*pi*(RI-min(RI)+K-min(K)))/(max(RI)+max(K)-min(RI)-min(K)),cos(2*pi*(RI-min(RI)+Ca-min(Ca)))/(max(RI)+max(Ca)-min(RI)-min(Ca)),cos(2*pi*(RI-min(RI)+Ba-min(Ba)))/(max(RI)+max(Ba)-min(RI)-min(Ba)),cos(2*pi*(RI-min(RI)+Fe-min(Fe)))/(max(RI)+max(Fe)-min(RI)-min(Fe)),cos(2*pi*(Na-min(Na)+Mg-min(Mg)))/(max(Na)+max(Mg)-min(Na)-min(Mg)),cos(2*pi*(Na-min(Na)+Al-min(Al)))/(max(Na)+max(Al)-min(Na)-min(Al)),cos(2*pi*(Na-min(Na)+Si-min(Si)))/(max(Na)+max(Si)-min(Na)-min(Si)),cos(2*pi*(Na-min(Na)+K-min(K)))/(max(Na)+max(K)-min(Na)-min(K)),cos(2*pi*(Na-min(Na)+Ca-min(Ca)))/(max(Na)+max(Ca)-min(Na)-min(Ca)),cos(2*pi*(Na-min(Na)+Ba-min(Ba)))/(max(Na)+max(Ba)-min(Na)-min(Ba)),cos(2*pi*(Na-min(Na)+Fe-min(Fe)))/(max(Na)+max(Fe)-min(Na)-min(Fe)),cos(2*pi*(Mg-min(Mg)+Al-min(Al)))/(max(Mg)+max(Al)-min(Mg)-min(Al)),cos(2*pi*(Mg-min(Mg)+Si-min(Si)))/(max(Mg)+max(Si)-min(Mg)-min(Si)),cos(2*pi*(Mg-min(Mg)+K-min(K)))/(max(Mg)+max(K)-min(Mg)-min(K)),cos(2*pi*(Mg-min(Mg)+Ca-min(Ca)))/(max(Mg)+max(Ca)-min(Mg)-min(Ca)),cos(2*pi*(Mg-min(Mg)+Ba-min(Ba)))/(max(Mg)+max(Ba)-min(Mg)-min(Ba)),cos(2*pi*(Mg-min(Mg)+Fe-min(Fe)))/(max(Mg)+max(Fe)-min(Mg)-min(Fe)),cos(2*pi*(Al-min(Al)+Si-min(Si)))/(max(Al)+max(Si)-min(Al)-min(Si)),cos(2*pi*(Al-min(Al)+K-min(K)))/(max(Al)+max(K)-min(Al)-min(K)),cos(2*pi*(Al-min(Al)+Ca-min(Ca)))/(max(Al)+max(Ca)-min(Al)-min(Ca)),cos(2*pi*(Al-min(Al)+Ba-min(Ba)))/(max(Al)+max(Ba)-min(Al)-min(Ba)),cos(2*pi*(Al-min(Al)+Fe-min(Fe)))/(max(Al)+max(Fe)-min(Al)-min(Fe)),cos(2*pi*(Si-min(Si)+K-min(K)))/(max(Si)+max(K)-min(Si)-min(K)),cos(2*pi*(Si-min(Si)+Ca-min(Ca)))/(max(Si)+max(Ca)-min(Si)-min(Ca)),cos(2*pi*(Si-min(Si)+Ba-min(Ba)))/(max(Si)+max(Ba)-min(Si)-min(Ba)),cos(2*pi*(Si-min(Si)+Fe-min(Fe)))/(max(Si)+max(Fe)-min(Si)-min(Fe)),cos(2*pi*(K-min(K)+Ca-min(Ca)))/(max(K)+max(Ca)-min(K)-min(Ca)),cos(2*pi*(K-min(K)+Ba-min(Ba)))/(max(K)+max(Ba)-min(K)-min(Ba)),cos(2*pi*(K-min(K)+Fe-min(Fe)))/(max(K)+max(Fe)-min(K)-min(Fe)),cos(2*pi*(Ca-min(Ca)+Ba-min(Ba)))/(max(Ca)+max(Ba)-min(Ca)-min(Ba)),cos(2*pi*(Ca-min(Ca)+Fe-min(Fe)))/(max(Ca)+max(Fe)-min(Ca)-min(Fe)),cos(2*pi*(Ba-min(Ba)+Fe-min(Fe)))/(max(Ba)+max(Fe)-min(Ba)-min(Fe))
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,0.13126201798959564,-0.22159281265905548,0.13146060031700177,0.17642590829101154,0.145232342129356,-0.0446065530596241,0.3145763575545357,1.873346551525733,-0.07262271044658407,-0.01900419012025621,0.05950764305480756,0.07638314546879384,0.007198922088702084,0.08615591076551171,0.11792289462318638,-0.04013207719155102,-0.09599436681155821,-0.0888837865696406,0.024139314930142895,-0.13063177073668475,-0.1996053456856543,0.021269161700991135,0.07266954415378865,0.0490012244759259,0.057881218975578345,0.09895821308727912,0.08317419565865292,-0.015201093347484542,0.11226140008327853,0.160767144145448,-0.042956312753176996,0.09933509464618072,0.13835959611432314,-0.030609582427395723,-0.03777988390107137,0.27322404371584696
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,0.0750997535881715,-0.17383948968904137,0.27431635724846365,0.15919769853384552,-0.15986178902271106,-0.07717879303377055,0.3149214141293793,1.8754014120676679,0.005636491878753425,0.012711281294554039,0.07153523918725471,-0.04956640666786071,-0.053404737845390654,0.054676203569285334,0.07483614455013912,-0.062565412221002,-0.09832653134930448,0.08189782056484708,0.06557377049180328,-0.10589227675064763,-0.1618033988749896,0.11328339709742008,-0.10096141361944304,-0.07031404801207511,0.14226840447578923,0.24323307861989776,-0.0685027090918674,-0.026025629068770213,0.10014933486215634,0.143421715228129,0.04295631275317701,-0.10599516039684592,-0.14763611626703538,-0.05816081914988843,-0.07178500393743992,0.27322404371584696
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,0.05079071482547809,-0.2084783440907561,-0.009774609180651811,0.07060117787090794,-0.1267926236118555,-0.05685509520499844,0.3150236139349866,1.876010026316016,-0.05276348763846184,0.09645603613541132,0.08098895520934457,0.028625548420270996,0.03376135854638032,0.031532346364789805,0.04315879809705866,0.040132077191551464,-0.012421529590125921,0.08689499868114492,0.05305029471311139,-0.12448383721140764,-0.19021130325903088,-0.1027045462503973,-0.06766709020686726,-0.05791102321939453,4.813863204195571e-17,8.230153220076299e-17,-0.0766153304374293,-0.06004200799075161,0.04866049046458451,0.0696856451006734,-0.0037000895420926296,-0.08231979089484927,-0.1146597087463972,-0.04225630857602269,-0.052154858233582554,0.27322404371584696
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,-0.14932457040025748,-0.0730804734468631,0.309072552721318,0.06182871290571126,-0.14225742004815264,0.026717535235695148,0.3149173806524317,1.8753773921438912,0.0432453926482692,-0.10062015226313167,-0.01529643384373288,0.07395462801673042,-0.007198922088702532,-0.10123619401168146,-0.1385635057701785,-0.04780838346554226,-0.09891246069655801,-0.005868272853206562,-0.06505670172553955,-0.04818384197443435,-0.07362491053693569,0.035075708782625434,-0.09605382722569213,0.017801709890111744,0.15723270440251572,0.2688172043010753,-0.05796334512520525,-0.05160928639987908,0.03531622792856342,0.05057561282732077,-0.037561814363505926,-0.09666955688739527,-0.1346468828074434,0.017878496561097152,0.022066538346482815,0.27322404371584696
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,-0.14357387568008795,-0.15543453645748131,0.2977280665765201,-0.029222342618500458,-0.15051836165608043,-0.056254736770894036,0.31493645787517216,1.875490999694412,0.04809935322971301,-0.10121974933349609,0.030050983892628023,0.06565535968133897,0.02445601904451885,-0.09883501644169722,-0.13527697781126152,-0.11751000681376877,0.07636404784695631,0.04502370785997339,-0.004117411116676978,-0.09541474180908542,-0.14579372548428254,0.02126916170099133,-0.10615711252653925,-0.06043864892641484,0.14953718809672226,0.25566035384278324,0.036052437897125235,0.051609286399877934,-0.014323798121631981,-0.02051280418400652,0.021692666628442644,-0.10160860216828563,-0.1415262673058264,-0.04582487345425511,-0.056559360226148034,0.27322404371584696
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,0.13760802676143932,-0.16639411016578526,-0.15714446852062097,0.09071466624796286,-0.09848733756839136,-0.05692872411841101,0.31503707992702784,-0.1744054571906233,-0.043245392648270035,-0.07814535930788889,0.01529643384373337,-0.024029315270214215,-0.017749396575241348,0.09487515162125047,-0.05946638150350048,0.12075019297250023,0.012421529590116859,-6.87296317873832e-17,-1.6101530522364526e-17,-0.10085251868793063,0.13690942118573773,-0.11328339709742008,0.1042767782089903,0.07031404801207511,-0.07574743303486094,-0.22696987244677827,0.026165706551644925,0.018888569338320657,0.06123734799760161,-0.14342171522812647,-0.011041916003873394,-0.06810085360562924,0.12038943368674812,-0.04582487345425511,0.07178500393744001,-0.017155879652817868
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,-0.1329770410042186,-0.1739947926710082,0.19155091502193847,-0.04019095362329143,-0.13743791378717993,-0.0021674671260689038,0.31493567728876537,1.875486351192329,0.0432453926482692,-0.08887491684014837,0.047982469574893494,0.04570647373969458,-0.021144431515489743,-0.09232929106796119,-0.1263724933611759,-0.1235138332850849,0.07224664295553913,0.039792457155614594,-0.035136183277311286,-0.10589227675064763,-0.1618033988749896,0.07770114709747013,-0.09605382722569202,-0.06043864892641484,0.09241906482586042,0.15800678825066458,0.053973242146375625,0.060642707904307924,-0.02141500738122646,-0.030667972927288303,-0.025090117357989064,-0.09362250855169485,-0.1304027797684321,-0.0045140560409282484,-0.005571474669859087,0.27322404371584696
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,-0.1341260373709386,-0.16491452165154558,0.031837761388267494,-0.1638401311836747,-0.14230400827873965,0.037584264396788164,0.3149254165248293,1.8754252468967454,0.08817659342268314,0.04318248393154928,0.047982469574893494,0.07760705508773494,0.00719892208870207,-0.08941904898406768,-0.12238920112344454,-0.08890222154918036,0.09599436681156048,0.039792457155614594,-0.057462733117630324,-0.10085251868793063,-0.154102648555158,0.04178485274514101,-0.05114157899168954,-0.06476929509420325,0.009872723196432835,0.016879171916481944,0.08467400508044039,0.0038380513159754826,-0.10340880599611417,-0.14808953395515534,-0.042956312753176996,-0.09666955688739527,-0.1346468828074434,0.02646474138638967,0.03266411292676843,0.27322404371584696
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,-0.0621250999680266,-0.18855239422075884,0.26320859247816303,-0.031160501010117782,-0.14600673320096316,0.06681391650932492,0.31477993054430853,1.874558857375223,0.06916635931560002,-0.07814535930788888,-0.07153523918725484,0.0532307236336457,0.02445601904451886,-0.03756372986578269,-0.05141404367104333,-0.0695878954518177,0.05825423709538605,0.059572335490531675,-0.06236436172427252,-0.1146998272308722,-0.17526133600877275,-0.06671796280277446,-0.06766709020686726,0.06807849078705475,0.13778406918928668,0.23556631183974824,0.04079201304840749,0.038962346561656834,-0.014323798121631806,-0.02051280418400627,-0.05331921346293595,-0.09933509464618069,-0.1383595961143231,0.049212588492357406,0.06074064826341538,0.27322404371584696
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,-0.02474477821580358,-0.17389128206597898,0.27437023084842965,0.06919346627800507,-0.1423086640122364,0.09172274496885728,0.3149262132741048,1.396946058240869,0.061449470909217534,-0.05434348833458365,-0.07763726663633738,0.041666158240979155,0.003606577801798741,-0.012789105465745028,-0.10181126081304596,-0.062565412221002,0.01857099252583153,0.04502370785997339,-0.059332921473181525,-0.10589227675064763,-0.04973797743297121,1.0401265447070164e-14,-0.06766709020686726,0.06933308240004508,0.14226840447578923,0.11445679880781513,-4.138875509158961e-15,0.03592819390541018,0.04866049046458451,-0.04070210919227654,-0.057076202777173235,-0.09666955688739527,-0.0633600136257549,0.07061734369005675,0.07775569476875437,0.21052274392781126
