RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,cos(2*pi*(RI-min(RI)+Na-min(Na)))/(max(RI)+max(Na)-min(RI)-min(Na)),cos(2*pi*(RI-min(RI)+Mg-min(Mg)))/(max(RI)+max(Mg)-min(RI)-min(Mg)),cos(2*pi*(RI-min(RI)+Al-min(Al)))/(max(RI)+max(Al)-min(RI)-min(Al)),cos(2*pi*(RI-min(RI)+Si-min(Si)))/(max(RI)+max(Si)-min(RI)-min(Si)),cos(2*pi*(RI-min(RI)+K-min(K)))/(max(RI)+max(K)-min(RI)-min(K)),cos(2*pi*(RI-min(RI)+Ca-min(Ca)))/(max(RI)+max(Ca)-min(RI)-min(Ca)),cos(2*pi*(RI-min(RI)+Ba-min(Ba)))/(max(RI)+max(Ba)-min(RI)-min(Ba)),cos(2*pi*(RI-min(RI)+Fe-min(Fe)))/(max(RI)+max(Fe)-min(RI)-min(Fe)),cos(2*pi*(Na-min(Na)+Mg-min(Mg)))/(max(Na)+max(Mg)-min(Na)-min(Mg)),cos(2*pi*(Na-min(Na)+Al-min(Al)))/(max(Na)+max(Al)-min(Na)-min(Al)),cos(2*pi*(Na-min(Na)+Si-min(Si)))/(max(Na)+max(Si)-min(Na)-min(Si)),cos(2*pi*(Na-min(Na)+K-min(K)))/(max(Na)+max(K)-min(Na)-min(K)),cos(2*pi*(Na-min(Na)+Ca-min(Ca)))/(max(Na)+max(Ca)-min(Na)-min(Ca)),cos(2*pi*(Na-min(Na)+Ba-min(Ba)))/(max(Na)+max(Ba)-min(Na)-min(Ba)),cos(2*pi*(Na-min(Na)+Fe-min(Fe)))/(max(Na)+max(Fe)-min(Na)-min(Fe)),cos(2*pi*(Mg-min(Mg)+Al-min(Al)))/(max(Mg)+max(Al)-min(Mg)-min(Al)),cos(2*pi*(Mg-min(Mg)+Si-min(Si)))/(max(Mg)+max(Si)-min(Mg)-min(Si)),cos(2*pi*(Mg-min(Mg)+K-min(K)))/(max(Mg)+max(K)-min(Mg)-min(K)),cos(2*pi*(Mg-min(Mg)+Ca-min(Ca)))/(max(Mg)+max(Ca)-min(Mg)-min(Ca)),cos(2*pi*(Mg-min(Mg)+Ba-min(Ba)))/(max(Mg)+max(Ba)-min(Mg)-min(Ba)),cos(2*pi*(Mg-min(Mg)+Fe-min(Fe)))/(max(Mg)+max(Fe)-min(Mg)-min(Fe)),cos(2*pi*(Al-min(Al)+Si-min(Si)))/(max(Al)+max(Si)-min(Al)-min(Si)),cos(2*pi*(Al-min(Al)+K-min(K)))/(max(Al)+max(K)-min(Al)-min(K)),cos(2*pi*(Al-min(Al)+Ca-min(Ca)))/(max(Al)+max(Ca)-min(Al)-min(Ca)),cos(2*pi*(Al-min(Al)+Ba-min(Ba)))/(max(Al)+max(Ba)-min(Al)-min(Ba)),cos(2*pi*(Al-min(Al)+Fe-min(Fe)))/(max(Al)+max(Fe)-min(Al)-min(Fe)),cos(2*pi*(Si-min(Si)+K-min(K)))/(max(Si)+max(K)-min(Si)-min(K)),cos(2*pi*(Si-min(Si)+Ca-min(Ca)))/(max(Si)+max(Ca)-min(Si)-min(Ca)),cos(2*pi*(Si-min(Si)+Ba-min(Ba)))/(max(Si)+max(Ba)-min(Si)-min(Ba)),cos(2*pi*(Si-min(Si)+Fe-min(Fe)))/(max(Si)+max(Fe)-min(Si)-min(Fe)),cos(2*pi*(K-min(K)+Ca-min(Ca)))/(max(K)+max(Ca)-min(K)-min(Ca)),cos(2*pi*(K-min(K)+Ba-min(Ba)))/(max(K)+max(Ba)-min(K)-min(Ba)),cos(2*pi*(K-min(K)+Fe-min(Fe)))/(max(K)+max(Fe)-min(K)-min(Fe)),cos(2*pi*(Ca-min(Ca)+Ba-min(Ba)))/(max(Ca)+max(Ba)-min(Ca)-min(Ba)),cos(2*pi*(Ca-min(Ca)+Fe-min(Fe)))/(max(Ca)+max(Fe)-min(Ca)-min(Fe)),cos(2*pi*(Ba-min(Ba)+Fe-min(Fe)))/(max(Ba)+max(Fe)-min(Ba)-min(Fe)),Type
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,0.13126201798959600,-0.22159281265905500,0.13146060031700200,0.17642590829101200,0.145232342129356,-0.0446065530596241,0.3145763575545360,1.873346551525730,-0.07262271044658410,-0.01900419012025620,0.05950764305480760,0.07638314546879380,0.007198922088702080,0.08615591076551170,0.11792289462318600,-0.04013207719155100,-0.09599436681155820,-0.0888837865696406,0.024139314930142900,-0.13063177073668500,-0.1996053456856540,0.021269161700991100,0.07266954415378870,0.0490012244759259,0.057881218975578300,0.09895821308727910,0.08317419565865290,-0.015201093347484500,0.11226140008327900,0.160767144145448,-0.042956312753177000,0.09933509464618070,0.13835959611432300,-0.030609582427395700,-0.03777988390107140,0.27322404371584700,1
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,0.0750997535881715,-0.17383948968904100,0.27431635724846400,0.15919769853384600,-0.15986178902271100,-0.07717879303377060,0.3149214141293790,1.8754014120676700,0.005636491878753430,0.012711281294554000,0.07153523918725470,-0.04956640666786070,-0.053404737845390700,0.054676203569285300,0.07483614455013910,-0.062565412221002,-0.09832653134930450,0.08189782056484710,0.06557377049180330,-0.10589227675064800,-0.1618033988749900,0.11328339709742000,-0.10096141361944300,-0.07031404801207510,0.14226840447578900,0.24323307861989800,-0.0685027090918674,-0.026025629068770200,0.10014933486215600,0.143421715228129,0.04295631275317700,-0.10599516039684600,-0.14763611626703500,-0.05816081914988840,-0.07178500393743990,0.27322404371584700,1
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,0.05079071482547810,-0.2084783440907560,-0.009774609180651810,0.07060117787090790,-0.1267926236118560,-0.05685509520499840,0.3150236139349870,1.876010026316020,-0.05276348763846180,0.09645603613541130,0.08098895520934460,0.028625548420271000,0.03376135854638030,0.031532346364789800,0.04315879809705870,0.040132077191551500,-0.012421529590125900,0.08689499868114490,0.05305029471311140,-0.12448383721140800,-0.19021130325903100,-0.1027045462503970,-0.06766709020686730,-0.05791102321939450,4.81386320419557E-17,8.2301532200763E-17,-0.0766153304374293,-0.06004200799075160,0.04866049046458450,0.0696856451006734,-0.0037000895420926300,-0.08231979089484930,-0.1146597087463970,-0.04225630857602270,-0.052154858233582600,0.27322404371584700,1
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,-0.14932457040025700,-0.0730804734468631,0.309072552721318,0.06182871290571130,-0.14225742004815300,0.026717535235695100,0.3149173806524320,1.8753773921438900,0.0432453926482692,-0.10062015226313200,-0.01529643384373290,0.07395462801673040,-0.007198922088702530,-0.10123619401168100,-0.1385635057701790,-0.04780838346554230,-0.09891246069655800,-0.005868272853206560,-0.06505670172553960,-0.04818384197443440,-0.07362491053693570,0.035075708782625400,-0.09605382722569210,0.017801709890111700,0.15723270440251600,0.2688172043010750,-0.05796334512520530,-0.05160928639987910,0.03531622792856340,0.05057561282732080,-0.037561814363505900,-0.09666955688739530,-0.1346468828074430,0.017878496561097200,0.022066538346482800,0.27322404371584700,1
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,-0.14357387568008800,-0.15543453645748100,0.2977280665765200,-0.029222342618500500,-0.15051836165608000,-0.056254736770894000,0.31493645787517200,1.875490999694410,0.04809935322971300,-0.10121974933349600,0.030050983892628000,0.06565535968133900,0.02445601904451890,-0.09883501644169720,-0.13527697781126200,-0.11751000681376900,0.07636404784695630,0.04502370785997340,-0.004117411116676980,-0.09541474180908540,-0.14579372548428300,0.02126916170099130,-0.10615711252653900,-0.06043864892641480,0.14953718809672200,0.25566035384278300,0.036052437897125200,0.051609286399877900,-0.014323798121632000,-0.02051280418400650,0.021692666628442600,-0.10160860216828600,-0.1415262673058260,-0.04582487345425510,-0.056559360226148000,0.27322404371584700,1
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,0.13760802676143900,-0.16639411016578500,-0.15714446852062100,0.09071466624796290,-0.09848733756839140,-0.05692872411841100,0.31503707992702800,-0.1744054571906230,-0.043245392648270000,-0.07814535930788890,0.01529643384373340,-0.024029315270214200,-0.017749396575241300,0.09487515162125050,-0.05946638150350050,0.12075019297250000,0.012421529590116900,-6.87296317873832E-17,-1.61015305223645E-17,-0.10085251868793100,0.13690942118573800,-0.11328339709742000,0.1042767782089900,0.07031404801207510,-0.07574743303486090,-0.22696987244677800,0.026165706551644900,0.018888569338320700,0.06123734799760160,-0.14342171522812600,-0.011041916003873400,-0.06810085360562920,0.12038943368674800,-0.04582487345425510,0.07178500393744000,-0.017155879652817900,1
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,-0.1329770410042190,-0.1739947926710080,0.19155091502193800,-0.04019095362329140,-0.13743791378718000,-0.0021674671260689000,0.31493567728876500,1.875486351192330,0.0432453926482692,-0.08887491684014840,0.047982469574893500,0.04570647373969460,-0.021144431515489700,-0.09232929106796120,-0.1263724933611760,-0.1235138332850850,0.07224664295553910,0.039792457155614600,-0.035136183277311300,-0.10589227675064800,-0.1618033988749900,0.07770114709747010,-0.09605382722569200,-0.06043864892641480,0.09241906482586040,0.15800678825066500,0.053973242146375600,0.060642707904307900,-0.02141500738122650,-0.030667972927288300,-0.025090117357989100,-0.09362250855169490,-0.1304027797684320,-0.0045140560409282500,-0.005571474669859090,0.27322404371584700,1
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,-0.1341260373709390,-0.16491452165154600,0.031837761388267500,-0.1638401311836750,-0.14230400827874000,0.037584264396788200,0.3149254165248290,1.8754252468967500,0.08817659342268310,0.04318248393154930,0.047982469574893500,0.07760705508773490,0.00719892208870207,-0.08941904898406770,-0.12238920112344500,-0.08890222154918040,0.09599436681156050,0.039792457155614600,-0.057462733117630300,-0.10085251868793100,-0.154102648555158,0.04178485274514100,-0.05114157899168950,-0.06476929509420330,0.009872723196432840,0.016879171916481900,0.08467400508044040,0.0038380513159754800,-0.10340880599611400,-0.14808953395515500,-0.042956312753177000,-0.09666955688739530,-0.1346468828074430,0.02646474138638970,0.03266411292676840,0.27322404371584700,1
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,-0.0621250999680266,-0.18855239422075900,0.26320859247816300,-0.031160501010117800,-0.14600673320096300,0.06681391650932490,0.31477993054430900,1.874558857375220,0.06916635931560000,-0.07814535930788890,-0.07153523918725480,0.0532307236336457,0.02445601904451890,-0.03756372986578270,-0.05141404367104330,-0.0695878954518177,0.05825423709538610,0.059572335490531700,-0.06236436172427250,-0.1146998272308720,-0.17526133600877300,-0.06671796280277450,-0.06766709020686730,0.06807849078705480,0.13778406918928700,0.23556631183974800,0.04079201304840750,0.038962346561656800,-0.014323798121631800,-0.02051280418400630,-0.05331921346293600,-0.09933509464618070,-0.1383595961143230,0.049212588492357400,0.06074064826341540,0.27322404371584700,1
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,-0.02474477821580360,-0.17389128206597900,0.27437023084843000,0.06919346627800510,-0.1423086640122360,0.09172274496885730,0.3149262132741050,1.396946058240870,0.061449470909217500,-0.05434348833458370,-0.07763726663633740,0.041666158240979200,0.003606577801798740,-0.012789105465745000,-0.10181126081304600,-0.062565412221002,0.01857099252583150,0.04502370785997340,-0.059332921473181500,-0.10589227675064800,-0.04973797743297120,1.04012654470702E-14,-0.06766709020686730,0.06933308240004510,0.14226840447578900,0.11445679880781500,-4.13887550915896E-15,0.03592819390541020,0.04866049046458450,-0.04070210919227650,-0.057076202777173200,-0.09666955688739530,-0.0633600136257549,0.07061734369005680,0.07775569476875440,0.21052274392781100,1
