fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,cos(fixed_acidity+volatile_acidity),cos(fixed_acidity+citric_acid),cos(fixed_acidity+residual_sugar),cos(fixed_acidity+chlorides),cos(fixed_acidity+free_sulfur_dioxide),cos(fixed_acidity+total_sulfur_dioxide),cos(fixed_acidity+density),cos(fixed_acidity+pH),cos(fixed_acidity+sulphates),cos(fixed_acidity+alcohol),cos(volatile_acidity+citric_acid),cos(volatile_acidity+residual_sugar),cos(volatile_acidity+chlorides),cos(volatile_acidity+free_sulfur_dioxide),cos(volatile_acidity+total_sulfur_dioxide),cos(volatile_acidity+density),cos(volatile_acidity+pH),cos(volatile_acidity+sulphates),cos(volatile_acidity+alcohol),cos(citric_acid+residual_sugar),cos(citric_acid+chlorides),cos(citric_acid+free_sulfur_dioxide),cos(citric_acid+total_sulfur_dioxide),cos(citric_acid+density),cos(citric_acid+pH),cos(citric_acid+sulphates),cos(citric_acid+alcohol),cos(residual_sugar+chlorides),cos(residual_sugar+free_sulfur_dioxide),cos(residual_sugar+total_sulfur_dioxide),cos(residual_sugar+density),cos(residual_sugar+pH),cos(residual_sugar+sulphates),cos(residual_sugar+alcohol),cos(chlorides+free_sulfur_dioxide),cos(chlorides+total_sulfur_dioxide),cos(chlorides+density),cos(chlorides+pH),cos(chlorides+sulphates),cos(chlorides+alcohol),cos(free_sulfur_dioxide+total_sulfur_dioxide),cos(free_sulfur_dioxide+density),cos(free_sulfur_dioxide+pH),cos(free_sulfur_dioxide+sulphates),cos(free_sulfur_dioxide+alcohol),cos(total_sulfur_dioxide+density),cos(total_sulfur_dioxide+pH),cos(total_sulfur_dioxide+sulphates),cos(total_sulfur_dioxide+alcohol),cos(density+pH),cos(density+sulphates),cos(density+alcohol),cos(pH+sulphates),cos(pH+alcohol),cos(sulphates+alcohol)
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,-0.2435441537357911,0.43854732757439036,-0.9922253254526034,0.3690453300081716,0.9006401723847685,-0.8476291196356829,-0.5174072813574829,-0.08546988297031163,-0.10581987174621856,-0.46067858741136253,0.7648421872844885,-0.8568887533689471,0.713720960886717,0.6475963386538759,-0.9898667694406034,-0.12666252166885286,-0.4815206960416738,0.3058169083782893,-0.7805681801691837,-0.32328956686350335,0.9971133898230555,0.004425697988050786,-0.8485702747846052,0.5421522330103341,-0.9329020910333036,0.8472551110134161,-0.9996930420352065,-0.3942059487280395,0.9448600381598606,-0.22633707568091363,-0.9704294673320956,0.6423886576454144,-0.776570283533293,0.2997453432770149,0.08033903759716624,-0.8862923694161285,0.47678740864181324,-0.9028656192735101,0.8044781165221552,-0.9986884381479255,0.5253219888177297,0.8426714571393724,-0.36425531546343326,0.5349306910159652,0.02035084333168298,-0.9046320192702635,0.9821715841165631,-0.9999969227911792,0.8352015507314432,-0.2031647294518614,0.012995960941617745,-0.5628041166087463,-0.599109926407685,0.9415381057390665,-0.8601554033573197
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,-0.7352384205988414,0.05395542056264975,-0.5609842574272288,-0.04400415228355765,0.1856397238857913,0.8263372945385468,-0.8092171294461394,0.004425697988050786,-0.585922826693367,0.31574375491924334,0.6371511441985802,-0.9432845990484758,0.5586824263551495,0.7335546452023372,0.32948488910375245,-0.30125037442495134,-0.5910734367830315,0.010796117058267392,-0.31036245064446055,-0.8568887533689473,0.995201841970541,0.9912028118634736,-0.5177697997895051,0.5429922420785284,-0.9982947757947531,0.7775727187509279,-0.9304262721047533,-0.9032155746827519,-0.7811230330551143,0.88469284105617,-0.8981698879367664,0.8855195169413194,-0.990436984097473,0.9861923022788637,0.9993965842084395,-0.4315786375255373,0.45822424620703484,-0.9877932861279424,0.7123186740863704,-0.8901044454211509,-0.6264444479103392,0.6493561929814872,-0.9972385088794737,0.8539541224323612,-0.9707452912726824,0.4372674052913566,0.46694664023629007,0.13534132377866714,0.16821640767407295,-0.493047348919196,-0.1058052614099406,-0.19746790206605822,-0.7395415287592582,0.9074467814501962,-0.49303456607580864
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,-0.6488090927025189,0.013981178443112786,-0.7805681801691837,-0.038009208087370155,-0.6903298762015725,0.5132293253901121,-0.809334615199281,0.06438115334624869,-0.5613518220050715,0.31574375491924334,0.6967067093471655,-0.9966731657160466,0.6584792661105568,-0.9986463947435326,-0.2161518718739286,-0.18512953401601956,-0.6383778556406595,0.16010431155483104,-0.42193113603384647,-0.695563326462902,0.9913006424792677,-0.7850848213151369,-0.8063008714374992,0.5088051880442422,-0.9874797699088649,0.7712460149971065,-0.9150267739551639,-0.7319664712631275,0.021238808173646012,0.9692411620842172,-0.9879485626258075,0.7497015759873071,-0.981702202998454,0.8932061115093233,-0.8162173023984272,-0.7744665656267123,0.4633717623993151,-0.9779459181917516,0.7371185068687569,-0.8928229467674961,0.9933903797222716,-0.9585188795133862,0.8311876651058818,-0.9983206000589924,0.9451505141481711,0.019127395670447515,0.7574928072437167,-0.3220285858806107,0.5668271321520262,-0.4398116864707503,-0.07612994216353024,-0.19727183624740013,-0.7190184609226814,0.8806189682873271,-0.5189090939577411
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,0.46570022477569534,0.6921226034677119,0.8609666164623064,0.2758036808357454,-0.9972385088794737,-0.49180823918046324,0.9329153187211366,-0.22099351850480609,0.7064188202839354,-0.5477292602242685,0.6674628258413081,-0.5722145708524364,0.9376464888193493,0.0012404049380560205,-0.8310855374618217,0.2886306666449516,-0.9558059386176663,0.6524374681640519,-0.7929126513038623,-0.776570283533293,0.8050716964734628,0.2775475338744461,-0.6450255705430706,0.012795977573245047,-0.8373344009738799,0.41759450395835795,-0.5936397591772234,-0.3932867296512127,0.9987279672435017,0.596347497390676,-0.9704777248944785,0.3406526881077901,-0.7890147472295311,0.6475963386538773,-0.20235257122019853,-0.9268962036821018,0.4774904709057004,-0.9956407047478368,0.7930479281016595,-0.9003505007442698,-0.030975031731216456,0.6588134141188775,0.25742094519544073,0.29670498341551926,-0.09631291684576058,-0.26003335398703004,0.9466411938861444,-0.6296143688592711,0.7744433278635736,-0.5264238960297365,-0.007203610902006825,-0.19629138894787035,-0.8262338476412722,0.9235231208640653,-0.577427489950751
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,-0.2435441537357911,0.43854732757439036,-0.9922253254526034,0.3690453300081716,0.9006401723847685,-0.8476291196356829,-0.5174072813574829,-0.08546988297031163,-0.10581987174621856,-0.46067858741136253,0.7648421872844885,-0.8568887533689471,0.713720960886717,0.6475963386538759,-0.9898667694406034,-0.12666252166885286,-0.4815206960416738,0.3058169083782893,-0.7805681801691837,-0.32328956686350335,0.9971133898230555,0.004425697988050786,-0.8485702747846052,0.5421522330103341,-0.9329020910333036,0.8472551110134161,-0.9996930420352065,-0.3942059487280395,0.9448600381598606,-0.22633707568091363,-0.9704294673320956,0.6423886576454144,-0.776570283533293,0.2997453432770149,0.08033903759716624,-0.8862923694161285,0.47678740864181324,-0.9028656192735101,0.8044781165221552,-0.9986884381479255,0.5253219888177297,0.8426714571393724,-0.36425531546343326,0.5349306910159652,0.02035084333168298,-0.9046320192702635,0.9821715841165631,-0.9999969227911792,0.8352015507314432,-0.2031647294518614,0.012995960941617745,-0.5628041166087463,-0.599109926407685,0.9415381057390665,-0.8601554033573197
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,-0.2045640966193654,0.43854732757439036,-0.974843621404164,0.36997455672736435,0.02035084333168298,-0.9621231342138227,-0.5174072813574829,-0.08546988297031163,-0.10581987174621856,-0.46067858741136253,0.7899922314973651,-0.776570283533293,0.7418307534023283,0.45926441692078623,-0.9837173229122713,-0.08689395033963072,-0.5161835717748248,0.34364574631604683,-0.8049399679500471,-0.2272020946930871,0.9971888181122075,0.9074467814501962,-0.6669380616522619,0.5421522330103341,-0.9329020910333036,0.8472551110134161,-0.9996930420352065,-0.29953350618957414,-0.6153524829547208,-0.5740969614310395,-0.9414830871556626,0.5626691534050323,-0.7097925563621208,0.20300486381875216,0.8734127904189724,-0.7208942884528531,0.47766618874019984,-0.9032950906383688,0.8050716964734628,-0.9987391384388626,-0.9182827862121189,0.1389162217284305,-0.6952442031491103,0.5456519927727256,-0.9175780505318611,-0.987685857753607,0.8905255889063931,-0.9608605082000986,0.6482728441404405,-0.2031647294518614,0.012995960941617745,-0.5628041166087463,-0.599109926407685,0.9415381057390665,-0.8601554033573197
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,-0.6020119026848236,-0.10581987174621767,-0.9971721561963784,-0.11476493308826752,-0.6146521488144698,-0.6005925899564515,-0.8636259300397,0.2030048638187504,-0.48469843725015377,0.021238808173646012,0.7899922314973651,-0.5885011172553458,0.7844422598535878,-0.9941776251838151,-0.9959292932301297,-0.025600875890318484,-0.7259323042001402,0.48887208186052755,-0.8390715290764524,-0.08908541693645919,0.9916910320548965,-0.7973147490586094,-0.8078740568936476,0.4920093869258686,-0.9762437756724099,0.8678191796776499,-0.999379768101426,-0.098045903894251,-0.627828035246386,-0.6139513298226688,-0.8550273998058011,0.18651236942257574,-0.4699231137276022,0.004425697988050786,-0.8027144583766024,-0.813145463076165,0.48415425741229556,-0.9742541886688043,0.863312172368211,-0.9990223649597297,0.17171734183077755,-0.9586897243979139,0.8527565521308731,-0.9694143072775492,0.743343562696173,-0.9535041246514703,0.8618688000890145,-0.9736069924924631,0.7550680787307162,-0.4040947651523413,0.11414698170863674,-0.563960791104701,-0.8148028117859125,0.9910848718142533,-0.9067764503038198
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,-0.09587089337649782,0.5260775173811054,-0.6020119026848236,0.4697271064842361,-0.9526833244002685,-0.9996706432822098,-0.42649885128578213,-0.3008409081029591,0.08388294956272228,0.021238808173646012,0.7960837985490559,-0.27559024682451294,0.7550932412115527,-0.9983206000589924,-0.9423710087802263,-0.07373669023501492,-0.6228567477870415,0.43568244627671204,-0.33873706937788134,0.3623577544766736,0.9978882436713011,-0.7596879128588212,-0.5477292602242685,0.544838349514093,-0.9693052215029608,0.891568288195329,-0.8390715290764524,0.30105265380213675,-0.8813724903622346,-0.9782697014065075,-0.5841266775674291,-0.12208366377743342,-0.09904103659872802,0.2030048638187504,-0.8003225887819256,-0.6009169196605159,0.48922098493439437,-0.9512886031516667,0.8602686292747558,-0.8019631372968226,-0.12796368962740468,-0.9592001880363585,0.8962495569579382,-0.9718200963861556,0.9912028118634736,-0.9999940438390911,0.7366174091083975,-0.8672479032106911,0.9147423578045313,-0.32195051986137224,0.10599683164534648,-0.000974287410138011,-0.752854946567295,0.6795631096835295,-0.5017098667736485
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,-0.5020939611283953,0.033975094295243154,-0.9304262721047533,-0.019017219561311267,-0.46067858741136253,0.7855209834229068,-0.8092171294461394,0.16368581614125197,-0.4934208700271838,0.021238808173646012,0.8253356149096783,-0.8464080412157756,0.7942646596807786,-0.9879772279808662,0.9638892510174204,-0.006003637139010181,-0.6978483250035639,0.4084874408841574,-0.7929126513038623,-0.4342483461183005,0.9956786159849162,-0.9191898621309318,0.6752033929436143,0.5260900126368603,-0.9717153207120621,0.8309406791001634,-0.9954698062031188,-0.4813582781290476,0.004425697988050786,0.40808206181339196,-0.9895358445880996,0.6032828519984031,-0.8410404608462014,0.4833047587530059,-0.9387615695729702,0.7133314664147061,0.4802996595257349,-0.9578404928478372,0.8003005648193804,-0.9890352101093318,-0.2921388087338362,-0.8408080976176562,0.9787810529105713,-0.989473798492712,0.939524893748256,0.9891791622757362,-0.8073502984599275,0.961178067135113,-0.7148869687796651,-0.348142560304362,0.003996316157597141,-0.4783495148765986,-0.704975769195658,0.9571997356932865,-0.7989662576069335
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,-0.14550003380861354,-0.006018329693981597,0.511703992453149,0.2792199314450861,0.8064094939122546,-0.8979343145007,-0.600253775585883,-0.14506066678856186,-0.4313768449706208,0.6603167082440802,0.6524374681640519,0.9502325919585296,0.841360922253021,0.21943996321145934,-0.3877955281633778,0.07293151768405214,-0.7593990591375079,0.26749882862458735,0.004425697988050786,0.9844089648851007,0.9085484244590974,0.08115107024935747,-0.2553781077465442,0.2113894599240264,-0.8427593539586935,0.39933952940627304,-0.1351593510936451,0.993713825487398,-0.4456900004443332,0.2811061558726942,0.6861487404351423,-0.9996819412301848,0.8157251001253574,-0.627828035246386,-0.2062681929039341,0.03075639057320065,0.48117652369162667,-0.9612190526886408,0.6440618960171172,-0.41193290387442605,0.9284713207390763,0.6586629396681459,0.07029422866862556,0.49795620278841546,-0.7148869687796651,-0.7808584230055484,0.10644406501701699,-0.6428696168317901,0.8268371568000089,-0.35656532114776224,-0.22505908180456222,0.4813775959252821,-0.5332087560371543,0.28323631989098763,0.2997453432770149
