V1,V2,V3,V4,cos(2*pi*(V1-min(V1)+V2-min(V2)))/(max(V1)+max(V2)-min(V1)-min(V2)),cos(2*pi*(V1-min(V1)+V3-min(V3)))/(max(V1)+max(V3)-min(V1)-min(V3)),cos(2*pi*(V1-min(V1)+V4-min(V4)))/(max(V1)+max(V4)-min(V1)-min(V4)),cos(2*pi*(V2-min(V2)+V3-min(V3)))/(max(V2)+max(V3)-min(V2)-min(V3)),cos(2*pi*(V2-min(V2)+V4-min(V4)))/(max(V2)+max(V4)-min(V2)-min(V4)),cos(2*pi*(V3-min(V3)+V4-min(V4)))/(max(V3)+max(V4)-min(V3)-min(V4)),Class
3.6216,8.6661,-2.8073,-0.44699,0.01966350461275510,0.016861809914017000,0.003762188865858040,0.017425212656233600,-0.02565953641389860,-0.025613729095677900,1
4.5459,8.1674,-2.4586,-1.4621,-0.024241705812314300,-0.023255870420958200,-0.01846085347651640,0.002259920959776050,0.02614006018960830,0.02502779854797680,1
3.866,-2.6383,1.9242,0.10645,0.02374607523510600,0.019843731281410000,-0.037132198999306200,-0.011265983493965200,0.006503860458398160,0.019323384691285900,1
3.4566,9.5228,-4.0112,-3.5944,0.006813644847203950,0.003984324992092500,-0.03843991115072540,-0.01807585036277950,4.9969102601139E-05,0.0039002635137232100,1
0.32924,-4.4552,4.5718,-0.9888,-0.009178259214759620,0.003507765649314280,0.03646939625179060,0.009001247462381710,0.019013933927106800,-0.02537204824832320,1
4.3684,9.6718,-3.9606,-3.1625,0.015148232441710600,-0.002369208437631080,0.011511287175947600,0.0025596896025206800,0.012858509565600400,-0.007055582456393840,1
3.5912,3.0129,0.72888,0.56421,-0.02153596674533320,-0.016086500366835500,-0.0010839346303827200,0.006305138155350620,0.021289859341937600,0.02035616884541390,1
2.0922,-6.81,8.4636,-0.60216,0.02016453754865780,0.020116858108978700,0.03520167302263040,-0.0046379740579335600,0.022305586388965900,-0.009773395719708480,1
3.2032,5.7588,-0.75345,-0.61251,0.004189830127634690,0.004711754466922880,0.016897225232281300,0.018400219971022200,-0.025961691927449100,-0.028653758219911600,1
1.5356,9.1772,-2.2718,-0.73535,-0.024255371419929500,-0.022586812441131700,-0.031076768447991500,0.019531449402299400,0.0021878223734257400,0.013620837100736200,1
1.2247,8.7779,-2.2135,-0.80647,0.010180224017379800,-0.014364460836093900,0.040160070991214400,-0.014283642184012600,-0.0070320734452952200,0.011495676268502300,1
3.9899,-2.7066,2.3946,0.86291,0.020066238509211600,-0.006262695757786990,-0.0376757291478294,-0.0003522756395125660,-0.02624755596642080,0.024500155840600500,1
1.8993,7.6625,0.15394,-3.1108,-0.017637552671533400,-0.019825361696238600,-0.029109118678791700,0.014216461577026700,0.018507979847344300,0.02098330060901130,1
-1.5768,10.843,2.5462,-2.9362,0.021483141954656400,-0.007945998684325870,0.03556674750799950,-0.018981499778149300,0.0036362463220569300,-0.0274583126633171,1
3.404,8.7261,-2.9915,-0.57242,0.02319488768641500,-0.0015749661693482100,-0.035469545992229900,0.005441581809017640,-0.02618255133984240,-0.0037327441734504700,1
4.6765,-3.3895,3.4896,1.4771,0.019728589230675000,-0.02695113163971040,-0.0015410683172912800,0.010804056785292200,-0.02228395912812160,0.00920711695746764,1
2.6719,3.0646,0.37158,0.58619,-0.023347234071622500,-0.018667642136679500,0.02330909644883320,-0.02001631432482790,0.026102876548481500,0.007636858048477500,1
0.80355,2.8473,4.3439,0.6017,-0.02407726424528110,-0.026653406949972100,0.04020210016578990,-5.03276344967279E-05,0.0033720840125000700,0.0054591504640761900,1
1.4479,-4.8794,8.3428,-2.1086,-0.0183457764214294,0.019786259823613900,0.03634701928956500,-0.019823200104219300,-0.013249915410967000,0.02656439067779090,1
5.2423,11.0272,-4.353,-4.1013,0.02122853047838620,0.0054688540403151900,-0.004714550405229120,-0.002084814225427,0.0004663545092867800,-0.02130789412301850,1
5.7867,7.8902,-2.6196,-0.48708,-0.024605295896130000,-0.0269566669336089,0.030975472808967700,-0.009624938315013860,-0.004242381159517780,-0.004096749944635430,1
